"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW2";"SW_SPST_TL3305B";1;"SPST_TACT-KMR2";;;
2;"R16,R17,R11";"R_0402_1005Metric";3;"100k 0.1%";;;
3;"SCREEN0";"1X06";1;"PINHD-1X6";;;
4;"C18,C17";"C_0402_1005Metric";2;"22pF";;;
5;"R10,R6,R1,R3,R2";"R_0402_1005Metric";5;"1k";;;
6;"X2";"Crystal_SMD_MicroCrystal_CC8V-T1A-2Pin_2.0x1.2mm";1;"uXtal";;;
7;"R14,R13";"R_0402_1005Metric";2;"2k2";;;
8;"C10,C8,C6,C19,C15,C7,C12,C5,C9";"C_0402_1005Metric";9;"1uF";;;
9;"C1,C3,C4,C2,C14,C13,C11,C16";"C_0402_1005Metric";8;"10ÂµF";;;
10;"B1";"CR1220";1;"CR1220";;;
11;"L1";"LED_0603_1608Metric";1;"GREEN";;;
12;"R5,R8,R4";"R_0402_1005Metric";3;"4k7";;;
13;"Q2";"TSMT3";1;"DMP2035U-7";;;
14;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
15;"R12";"R_0402_1005Metric";1;"330R";;;
16;"IC2";"SSOP24";1;"TB6612FNG";;;
17;"U3";"SOT-23-5";1;"MCP73831T";;;
18;"X1";"CRYSTAL_8X3.8";1;"ClockXtal";;;
19;"IC1";"SOT-23-5";1;"MC74VHC1GT125";;;
20;"X4";"MICROSD";1;"microsd";;;
21;"R15";"R_0402_1005Metric";1;"10k";;;
22;"L0,CHG0";"LED_0603_1608Metric";2;"RED";;;
23;"IC4";"SO-8_3.9x4.9mm_P1.27mm";1;"RTC PCF8523T";;;
24;"@HOLE2,@HOLE2,@HOLE6,@HOLE5,@HOLE0";"";5;"";;;
25;"AUX_I2C0";"JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical";1;"TBD";;;
26;"U1";"TQFN48_7MM";1;"ATSAMD21G18A";;;
27;"X5";"JST-XH-02-PACKAGE-ROUND-PAD";1;"JST-XH-02";;;
28;"USB0";"ZX62D-B-5P8";1;"USB_MICRO_B";;;
29;"R9";"R_0402_1005Metric";1;"34k";;;
30;"BZ1";"Buzzer";1;"Buzzer";;;
31;"EXT0";"35RASMT2BHNTRX";1;"STEREO_JACK";;;
32;"U2";"SOT-23-5";1;"MIC5504-3.3";;;
33;"LED10,LED4,LED9,LED8,LED3,LED1,LED2,LED6,LED7,LED5";"WS2812B";10;"RGBLed";;;
34;"SW1";"SSSS811101";1;"Sw";;;
35;"PI3,PI1,PI2";"GP1A57HR";3;"GP1A57HR";;;
